2022-06-13 10:05:27.104 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 29388 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-13 10:05:27.167 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-The following profiles are active: druid
2022-06-13 10:05:32.627 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2022-06-13 10:05:33.042 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2022-06-13 10:05:33.922 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-9001"]
2022-06-13 10:05:33.923 [restartedMain] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2022-06-13 10:05:33.924 [restartedMain] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/9.0.37]
2022-06-13 10:05:34.079 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2022-06-13 10:05:35.150 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-2 - Starting...
2022-06-13 10:05:35.161 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-2 - Start completed.
2022-06-13 10:05:35.193 [restartedMain] INFO  com.ginfon.scada.gateway.socket.ScadaSocketContext-准备建立Socket连接……
2022-06-13 10:05:36.584 [nioEventLoopGroup-3-1] INFO  c.g.s.gateway.socket.channel.SocketChannelHandler-Socekt:与[{}:{}]成功建立连接！
2022-06-13 10:05:39.506 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-9001"]
2022-06-13 10:05:39.592 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Started GinFonSystemApplication in 13.549 seconds (JVM running for 17.36)
2022-06-13 10:05:42.672 [http-nio-9001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-13 10:05:45.432 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:05:50.439 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:05:55.446 [jiKongThread--9-2] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:00.438 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:05.435 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:10.435 [jiKongThread--9-2] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:15.443 [jiKongThread--9-4] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:20.444 [jiKongThread--9-1] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:25.445 [jiKongThread--9-5] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:30.441 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:35.441 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:40.431 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:45.431 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:50.445 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:06:55.433 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:00.432 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:05.442 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:10.439 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:15.431 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:20.438 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:25.434 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:30.439 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:35.440 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:40.437 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:45.439 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:50.449 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:07:55.435 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
